|,33|,22|,|,16|,10|,4|,|,18|,15|,10|,41|,|
|14,_,_,36|19,_,_,_,|12,_,_,_,_,29|
|21,_,_,_,_,_,_,23|16,_,_,_,_,_
|15,_,_,_,_,_,25|39,_,_,_,_,_,_
|16,_,_,_,_,15|24,_,_,_,|7,_,_,_
|7,_,_,_,27|18,_,_,_,_,|,9|16,_,_
|38,_,_,_,_,_,_,13|,22|,|19,_,_,_
|,13|,35|36,_,_,_,_,_,_,14|6,_,_,_
|18,_,_,_,_,_,|10,_,_,_,_,|,|
|6,_,_,8|14,_,_,|,17|16,_,_,10|,35|,|
|9,_,_,_,20|,|,10|28,_,_,_,_,_,21|
|29,_,_,_,_,14|16,_,_,|13,_,_,_,_
|,|17,_,_,_,_,_,|,16|,28|23,_,_,_
|,|,|,8|16,_,_,16|,|5,_,_,29|6,_,_
|,36|,28|14,_,_,_,_,29|33,_,_,_,_,_
|18,_,_,_,|36,_,_,_,_,_,_,38|,39|
|9,_,_,_,|,31|,6|37,_,_,_,_,_,_
|4,_,_,25|,|16,_,_,_,_,10|24,_,_,_
|24,_,_,_,20|16,_,_,_,6|21,_,_,_,_
|36,_,_,_,_,_,_,4|15,_,_,_,_,_
|34,_,_,_,_,_,|22,_,_,_,_,_,_
|,|10,_,_,_,_,|7,_,_,_,|9,_,_
